variant,sample,n_series,n_months,r_ic1,r_ic2,r_ic3,r_ic3_at_upper_bound,q_aw_ic2,p_aw
drop_fiscal__setor_externo,full,116,153,5,4,20,TRUE,2,6
drop_fiscal__setor_externo,pre_covid,116,84,3,2,20,TRUE,2,6
drop_fiscal__setor_externo__credito,full,114,153,5,4,20,TRUE,3,6
drop_fiscal__setor_externo__credito,pre_covid,114,84,3,2,20,TRUE,2,6
drop_fiscal__setor_externo__credito__imoveis,full,113,153,5,4,20,TRUE,2,6
drop_fiscal__setor_externo__credito__imoveis,pre_covid,113,84,3,2,20,TRUE,2,6
drop_fiscal__setor_externo__eua,full,111,153,5,4,20,TRUE,3,6
drop_fiscal__setor_externo__eua,pre_covid,111,84,3,2,20,TRUE,2,6
drop_fiscal__setor_externo__eua__credito,full,109,153,5,5,20,TRUE,2,6
drop_fiscal__setor_externo__eua__credito,pre_covid,109,84,3,2,20,TRUE,2,6
drop_fiscal__setor_externo__eua__credito__imoveis,full,108,153,5,5,20,TRUE,2,6
drop_fiscal__setor_externo__eua__credito__imoveis,pre_covid,108,84,3,2,20,TRUE,2,6
drop_fiscal__setor_externo__eua__imoveis,full,110,153,5,5,20,TRUE,2,6
drop_fiscal__setor_externo__eua__imoveis,pre_covid,110,84,3,2,20,TRUE,2,6
drop_fiscal__setor_externo__expectativas,full,112,153,5,4,20,TRUE,3,6
drop_fiscal__setor_externo__expectativas,pre_covid,112,84,2,2,20,TRUE,2,6
drop_fiscal__setor_externo__expectativas__credito,full,110,153,5,4,20,TRUE,3,6
drop_fiscal__setor_externo__expectativas__credito,pre_covid,110,84,2,2,20,TRUE,2,6
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,109,153,5,5,20,TRUE,2,6
drop_fiscal__setor_externo__expectativas__credito__imoveis,pre_covid,109,84,2,2,20,TRUE,2,6
drop_fiscal__setor_externo__expectativas__eua,full,107,153,5,5,20,TRUE,2,6
drop_fiscal__setor_externo__expectativas__eua,pre_covid,107,84,2,2,20,TRUE,2,6
drop_fiscal__setor_externo__expectativas__eua__credito,full,105,153,5,5,20,TRUE,3,6
drop_fiscal__setor_externo__expectativas__eua__credito,pre_covid,105,84,2,2,20,TRUE,2,6
drop_fiscal__setor_externo__expectativas__eua__imoveis,full,106,153,5,5,20,TRUE,2,6
drop_fiscal__setor_externo__expectativas__eua__imoveis,pre_covid,106,84,2,2,20,TRUE,2,6
drop_fiscal__setor_externo__expectativas__imoveis,full,111,153,5,4,20,TRUE,3,6
drop_fiscal__setor_externo__expectativas__imoveis,pre_covid,111,84,2,2,20,TRUE,2,6
drop_fiscal__setor_externo__imoveis,full,115,153,5,4,20,TRUE,2,6
drop_fiscal__setor_externo__imoveis,pre_covid,115,84,3,2,20,TRUE,2,6
drop_imoveis,full,122,153,5,4,20,TRUE,2,6
drop_imoveis,pre_covid,122,84,3,2,20,TRUE,2,6
drop_setor_externo,full,119,153,5,4,20,TRUE,2,6
drop_setor_externo,pre_covid,119,84,3,2,20,TRUE,2,6
drop_setor_externo__credito,full,117,153,5,4,20,TRUE,3,6
drop_setor_externo__credito,pre_covid,117,84,3,2,20,TRUE,2,6
drop_setor_externo__credito__imoveis,full,116,153,5,4,20,TRUE,3,6
drop_setor_externo__credito__imoveis,pre_covid,116,84,3,2,20,TRUE,2,6
drop_setor_externo__eua,full,114,153,5,4,20,TRUE,3,6
drop_setor_externo__eua,pre_covid,114,84,3,2,20,TRUE,2,6
drop_setor_externo__eua__credito,full,112,153,5,4,20,TRUE,3,6
drop_setor_externo__eua__credito,pre_covid,112,84,3,2,20,TRUE,2,6
drop_setor_externo__eua__credito__imoveis,full,111,153,5,5,20,TRUE,2,6
drop_setor_externo__eua__credito__imoveis,pre_covid,111,84,3,2,20,TRUE,2,6
drop_setor_externo__eua__imoveis,full,113,153,5,4,20,TRUE,3,6
drop_setor_externo__eua__imoveis,pre_covid,113,84,3,2,20,TRUE,2,6
drop_setor_externo__expectativas,full,115,153,5,4,20,TRUE,3,6
drop_setor_externo__expectativas,pre_covid,115,84,3,2,20,TRUE,2,6
drop_setor_externo__expectativas__credito,full,113,153,5,4,20,TRUE,3,6
drop_setor_externo__expectativas__credito,pre_covid,113,84,3,2,20,TRUE,2,6
drop_setor_externo__expectativas__credito__imoveis,full,112,153,5,4,20,TRUE,3,6
drop_setor_externo__expectativas__credito__imoveis,pre_covid,112,84,3,2,20,TRUE,2,6
drop_setor_externo__expectativas__eua,full,110,153,5,4,20,TRUE,3,6
drop_setor_externo__expectativas__eua,pre_covid,110,84,3,2,20,TRUE,2,6
drop_setor_externo__expectativas__eua__credito,full,108,153,5,5,20,TRUE,2,6
drop_setor_externo__expectativas__eua__credito,pre_covid,108,84,3,2,20,TRUE,2,6
drop_setor_externo__expectativas__eua__credito__imoveis,full,107,153,5,5,20,TRUE,2,6
drop_setor_externo__expectativas__eua__credito__imoveis,pre_covid,107,84,3,2,20,TRUE,2,6
drop_setor_externo__expectativas__eua__imoveis,full,109,153,5,5,20,TRUE,2,6
drop_setor_externo__expectativas__eua__imoveis,pre_covid,109,84,3,2,20,TRUE,2,6
drop_setor_externo__expectativas__imoveis,full,114,153,5,4,20,TRUE,3,6
drop_setor_externo__expectativas__imoveis,pre_covid,114,84,3,2,20,TRUE,2,6
drop_setor_externo__imoveis,full,118,153,5,4,20,TRUE,2,6
drop_setor_externo__imoveis,pre_covid,118,84,3,2,20,TRUE,2,6
