block,id,name,source,unit,source_frequency,status,file,producer,reason,metadata_url
imoveis,21340,Índice de Valores de Garantia de Imóveis Residenciais Financiados (IVG-R),BCB/SGS,Índice,mensal,novo download necessário,data/raw/panel_candidates/sgs_21340.csv,R/data_download/bcb.R,Candidata única do bloco imobiliário.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=21340
eua,DGS2,"Market Yield on U.S. Treasury Securities at 2-Year Constant Maturity, Quoted on an Investment Basis",Federal Reserve Board via FRED,Percentual,diária,já disponível em produtor existente no repositório,data/raw/fred_dgs2.csv,R/data_download/focus_fred.R,Reutilizar o arquivo diário existente; não baixar uma duplicata candidata.,https://fred.stlouisfed.org/series/DGS2
eua,^GSPC,S&P 500 Index,Yahoo Finance,Índice,diária,já disponível em produtor existente no repositório,data/raw/investing/external_factors_daily.csv,R/data_download/external_factors.R,Reutilizar a coluna sp500 com cobertura integral; SP500 do FRED é proibido.,https://finance.yahoo.com/quote/%5EGSPC/history/
eua,T10Y2Y,10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity,FRED,Pontos percentuais,diária,deliberadamente excluída,NA,NA,Diferença linear exata entre DGS10 e DGS2.,https://fred.stlouisfed.org/series/T10Y2Y
eua,SP500,S&P 500,FRED,Índice,diária,deliberadamente excluída,NA,NA,Cobertura começa em 2016-08 e truncaria 43 meses; Yahoo ^GSPC já existe.,https://fred.stlouisfed.org/series/SP500
setor_externo,22701,Transações correntes - mensal - saldo,BCB/SGS,Milhões de dólares americanos,mensal,deliberadamente excluída,NA,NA,23079 foi escolhida para representar transações correntes sem ampliar o bloco.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=22701
setor_externo,22702,Transações correntes - mensal - receita,BCB/SGS,Milhões de dólares americanos,mensal,deliberadamente excluída,NA,NA,Perna da identidade 22701 = 22702 - 22703; 23079 representa transações correntes.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=22702
setor_externo,22703,Transações correntes - mensal - despesa,BCB/SGS,Milhões de dólares americanos,mensal,deliberadamente excluída,NA,NA,Perna da identidade 22701 = 22702 - 22703; 23079 representa transações correntes.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=22703
setor_externo,22707,Balança comercial - Balanço de Pagamentos - saldo,BCB/SGS,Milhões de dólares americanos,mensal,deliberadamente excluída,NA,NA,Identidade exata 22707 = 22708 - 22709.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=22707
setor_externo,22710,Balança comercial - mercadorias em geral - Balanço de Pagamentos - mensal - saldo,BCB/SGS,Milhões de dólares americanos,mensal,deliberadamente excluída,NA,NA,Identidade exata 22710 = 22711 - 22712; a infraestrutura seleciona o total de bens 22708/22709.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=22710
setor_externo,22711/22712,Exportações/importações de bens - mercadorias em geral,BCB/SGS,Milhões de dólares americanos,mensal,deliberadamente excluída,NA,NA,Subcomponentes de mercadorias em geral; 22708/22709 são os totais de bens selecionados.,https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=22711/22712
setor_externo,termos_de_troca,Termos de troca FUNCEX,FUNCEX,NA,NA,bloqueada por ambiguidade de definição,NA,NA,"A nota não fixa série, unidade, endpoint nem tratamento.",NA
setor_externo,atividade_chinesa,Indicador de atividade chinesa,NA,NA,NA,bloqueada por ambiguidade de definição,NA,NA,A nota não define indicador ou fonte oficial.,NA
credito,modalidades_credito,"Taxas, captação e risco por modalidade",BCB,NA,NA,deliberadamente excluída,NA,NA,Família ampla violaria o princípio de blocos pequenos e sobrepesaria crédito.,NA
