panel,variable,h,point,lo68,hi68,lo90,hi90
baseline_111,yield_2y,21,-0.0020737885285631334,-0.002515998428988006,0.0074102680888025445,-0.005073440366893875,0.013161732302602005
baseline_111,yield_2y,22,-0.0027371969187933677,-0.0031275501142529077,0.006594898241959336,-0.005873915055543191,0.012608357925603235
baseline_111,yield_2y,23,-0.0033508297490203853,-0.003787859300005419,0.006005737328793714,-0.006583496504874293,0.011652826008221644
baseline_111,yield_2y,24,-0.003913815175503986,-0.00439626672586369,0.005307377600765446,-0.00708895006341061,0.01107521656768685
baseline_111,yield_2y,25,-0.004424414989484835,-0.004998373439517182,0.004602244653358151,-0.007705754858551408,0.010306734143182936
baseline_111,yield_2y,26,-0.004881355900482528,-0.0055551895004424,0.003984886784329843,-0.008250572084142014,0.009442652051939168
baseline_111,yield_2y,27,-0.005284428282493733,-0.006009846968694856,0.0033902189475083053,-0.008637165647166177,0.008477367970279077
baseline_111,yield_2y,28,-0.0056335011079014065,-0.00644745492707348,0.003002889762529301,-0.009105536631370453,0.008013660367951475
baseline_111,yield_2y,29,-0.005928815097172242,-0.0067911749148166145,0.0026295275896791818,-0.009515879882088487,0.007406445427205308
baseline_111,yield_2y,30,-0.006171260120399757,-0.0070839796738847,0.0022996116176132743,-0.009855112642209816,0.0067495727202842104
baseline_111,yield_2y,31,-0.006362060536246509,-0.00724221949980329,0.001914556231723443,-0.010205598347812586,0.006124058966343717
baseline_111,yield_2y,32,-0.006502768960836879,-0.00739098671415796,0.0013344558598672807,-0.010379585576280466,0.005708866624753639
baseline_111,yield_2y,33,-0.006595337567307818,-0.007472482507614404,0.001091895864755639,-0.010790155189718476,0.005299454359318403
baseline_111,yield_2y,34,-0.006642015211200024,-0.007636862648181289,8.068785662900295e-4,-0.010831616252116821,0.005154746551321946
baseline_111,yield_2y,35,-0.006645290298980663,-0.007659813858616056,5.205222962077246e-4,-0.010981995846678607,0.004880624537064929
baseline_111,yield_2y,36,-0.00660787712607807,-0.007639130799396884,3.0451405147707703e-4,-0.010875416988448572,0.004616855554048868
baseline_111,yield_2y,37,-0.006532666953358165,-0.007570004663283794,2.2792875958104196e-4,-0.010873959671159504,0.004346694129720838
baseline_111,yield_2y,38,-0.006422677688926667,-0.0074501397159334,2.0081349911330344e-4,-0.010865101450248521,0.0043754569005277685
baseline_111,yield_2y,39,-0.006281019724130899,-0.007410907452873486,2.831107137542427e-4,-0.01086946569359643,0.0043905443316218686
baseline_111,yield_2y,40,-0.006110861352573212,-0.007316155964073657,3.7289227007119934e-4,-0.010682042892344916,0.00428506579446315
baseline_111,yield_2y,41,-0.005915391591203815,-0.007161803065868986,5.261257760958659e-4,-0.010566794957586782,0.0041924258162853965
baseline_111,yield_2y,42,-0.005697788705352178,-0.007161890396372917,6.170253473912775e-4,-0.010422917040997116,0.004053957809468604
baseline_111,yield_2y,43,-0.00546119350895784,-0.006911598178025384,8.289245165106076e-4,-0.009957339052470988,0.0039807789853665764
baseline_111,yield_2y,44,-0.005208683179177829,-0.006895598086167199,9.899991571844784e-4,-0.009857042541531925,0.0038546901791398805
baseline_111,yield_2y,45,-0.004943247940389028,-0.006771837621437566,0.001087670168260324,-0.009640366251861014,0.003945788607738975
baseline_111,yield_2y,46,-0.004667771813507382,-0.006599859541476579,0.0011629286733570669,-0.009396507114172808,0.004079463910137991
baseline_111,yield_2y,47,-0.004385015299214144,-0.006433873353959747,0.0013507649820506005,-0.009309494214195226,0.003980497537647127
baseline_111,yield_2y,48,-0.00409760029951163,-0.006222439962935803,0.0015222884051788559,-0.009036781580995567,0.004350956455416281
baseline_111,yield_5y,0,0.007483092668287027,0.006081364555642693,0.008795120184003965,0.005350075694507213,0.009911951135463719
baseline_111,yield_5y,1,0.00870836214705881,0.006495543804486304,0.010157918200280405,0.005501401823981536,0.011457774070816334
baseline_111,yield_5y,2,0.0079040526884599609,0.00548490752079419,0.009466369027399313,0.004277796553768048,0.011125573165591878
baseline_111,yield_5y,3,0.009681211070190822,0.006793025640477434,0.010962735657054863,0.005519309155282781,0.01283085925705409
baseline_111,yield_5y,4,0.00986649548728772,0.006748988391337593,0.011491239309058212,0.0051670413850826635,0.01379450861232191
baseline_111,yield_5y,5,0.009050896852285484,0.005938527131534775,0.011323848007235593,0.004339609275088533,0.01374856639393979
baseline_111,yield_5y,6,0.008867746196993166,0.005792904600286288,0.011804712428707904,0.004438987572232311,0.014076948131246117
baseline_111,yield_5y,7,0.008353483057261727,0.0055389936236849135,0.012079376332222535,0.004206552887802067,0.014810017175460507
baseline_111,yield_5y,8,0.007420172981632551,0.005001677432841382,0.011883346227846104,0.0034441665353418124,0.01511105032972005
baseline_111,yield_5y,9,0.006597850857850561,0.004507847464005578,0.011702985633974356,0.002791999462713265,0.015217581016552765
baseline_111,yield_5y,10,0.005758918676714615,0.003912608109237731,0.011484130708283214,0.0022244973629629928,0.015533187303696148
baseline_111,yield_5y,11,0.0048310179224204585,0.00332384288812087,0.011100208367580803,0.0015219192435023511,0.015433231422607526
baseline_111,yield_5y,12,0.003941215995882179,0.0026689539514231377,0.010757978790379543,0.0010217669315429954,0.015151766094895106
baseline_111,yield_5y,13,0.0030863310122097205,0.0020284977978909423,0.010140670002001459,3.783342457755531e-4,0.014732201790144268
baseline_111,yield_5y,14,0.0022478886284818035,0.0014618307030277583,0.009500428745939246,-4.40975300200494e-4,0.014536065726258984
baseline_111,yield_5y,15,0.0014434546356959959,6.662924530002632e-4,0.009028404659945666,-0.0010804392866452697,0.014222030823525328
baseline_111,yield_5y,16,6.824782627796802e-4,8.989951030362937e-6,0.008499693435593992,-0.0017566230860712533,0.013405899713926556
baseline_111,yield_5y,17,-3.82537418824598e-5,-5.584834731278155e-4,0.007915152936841374,-0.0025297831626352107,0.012881961492499249
baseline_111,yield_5y,18,-7.196691330371741e-4,-0.0012654194907624507,0.007277889025625818,-0.0032896769753069212,0.012360604126819793
baseline_111,yield_5y,19,-0.0013563759014463966,-0.0017784521018994297,0.006639187842292222,-0.0039497645620310395,0.011535773319640872
baseline_111,yield_5y,20,-0.0019480461639689076,-0.0023074809488376666,0.006015576185895108,-0.004577933168304294,0.010785793177638033
baseline_111,yield_5y,21,-0.002496476997226036,-0.0028740781865514648,0.005304663188304764,-0.005124947769451936,0.01034430034408192
baseline_111,yield_5y,22,-0.0029992608090180168,-0.003460451486000462,0.004702295306191507,-0.0055389726538344,0.009496739608736048
baseline_111,yield_5y,23,-0.003455355693036844,-0.003971383910654356,0.004107686708681066,-0.005981528047917623,0.008553987144059479
baseline_111,yield_5y,24,-0.003865651409128897,-0.0045043531365826376,0.003634398629462565,-0.006551036107790212,0.008020497293501858
baseline_111,yield_5y,25,-0.0042294422780677285,-0.00487983027312058,0.003038936284127207,-0.006957524872186328,0.007437959735526814
baseline_111,yield_5y,26,-0.004546368704904275,-0.005252570513695913,0.002615441752509377,-0.007384860414299325,0.006730547458733895
baseline_111,yield_5y,27,-0.004817253299375912,-0.005600238851623893,0.0023390512134852767,-0.007709938560306412,0.006218172297621984
baseline_111,yield_5y,28,-0.0050426616684420686,-0.005799896393427067,0.0019481892621960584,-0.008057046505382697,0.0056958693096992846
baseline_111,yield_5y,29,-0.005223350245030373,-0.005944898833157441,0.0014553876554871316,-0.00841059093170694,0.005207488875514177
baseline_111,yield_5y,30,-0.005360714563574044,-0.006128335293422919,0.0011225210883923189,-0.008676546002527775,0.005059173246618507
baseline_111,yield_5y,31,-0.0054563196397308675,-0.006264198213794605,8.089425095462441e-4,-0.008884591660382708,0.004752887653891093
baseline_111,yield_5y,32,-0.005511911410796809,-0.006356891932645639,5.76863754860124e-4,-0.009140644831196271,0.004473991662114909
baseline_111,yield_5y,33,-0.005529566309088134,-0.006360366575755279,4.154098668182995e-4,-0.00916877050365375,0.003963916653065149
baseline_111,yield_5y,34,-0.0055115533539385475,-0.006388080690939688,2.760501256103037e-4,-0.009253296041040401,0.0038015867416357
baseline_111,yield_5y,35,-0.005460274400253031,-0.0063604969464193094,1.480079719452362e-4,-0.009398907289477527,0.0034896204815681765
baseline_111,yield_5y,36,-0.005378281193975446,-0.006363730416053014,1.0972557348397978e-4,-0.00956451361011175,0.003166088184436132
baseline_111,yield_5y,37,-0.005268226876008099,-0.006305496352247622,0.00018314449623291866,-0.00955667732536233,0.0030644184667192697
baseline_111,yield_5y,38,-0.0051328172447986644,-0.006224585224457058,1.7132029827673716e-4,-0.009547264221427149,0.0031567567208022887
baseline_111,yield_5y,39,-0.004974790223941529,-0.0061994459866633565,2.617688562678627e-4,-0.009502522558709404,0.0029301930084214226
baseline_111,yield_5y,40,-0.004796889163936429,-0.006180578097709015,3.1752207002470775e-4,-0.009452683445966413,0.0030255700891964605
baseline_111,yield_5y,41,-0.004601831172453155,-0.006073921387648054,4.296625976469209e-4,-0.00905152241129377,0.003089669983005326
baseline_111,yield_5y,42,-0.004392284220062144,-0.0059931550332906,6.280348145533538e-4,-0.008883241964248627,0.003140604481365723
baseline_111,yield_5y,43,-0.004170848536776768,-0.005773050054806627,7.697430239212695e-4,-0.008900944858157267,0.002973215813107383
baseline_111,yield_5y,44,-0.003940036985139835,-0.005635925879792168,9.243591511035559e-4,-0.008649730169603527,0.0030980058236416788
baseline_111,yield_5y,45,-0.003702258532955869,-0.0054944979408974755,9.934753120044327e-4,-0.008552044310068056,0.0031092684049106433
baseline_111,yield_5y,46,-0.003459805808889499,-0.005314767231734513,0.0011514571773549537,-0.008522190859431351,0.00322109116879734
baseline_111,yield_5y,47,-0.003214843745265653,-0.005157063213649428,0.0013280653236080102,-0.008309940487775136,0.003325472776282156
baseline_111,yield_5y,48,-0.002969399997748486,-0.005049525397720477,0.0015304329066286385,-0.008040328717156835,0.003448676065120399
baseline_111,asset_ibov,0,-0.9679848905934691,-3.409703274208134,0.3081095474464708,-5.03313620334802,1.5631850676433807
baseline_111,asset_ibov,1,-1.3781977229146034,-2.646876193819539,0.7154474529931429,-3.706562151791379,2.071425305750808
baseline_111,asset_ibov,2,1.8927024691324086,0.3179845602673999,4.213871531767372,-0.8442450958111779,5.704002643839158
baseline_111,asset_ibov,3,-0.10056072341812056,-0.8581759853680715,2.940117405846979,-2.1905821115107753,4.151262531871642
baseline_111,asset_ibov,4,-0.030014824072318376,-1.0385731346503284,2.602550470786229,-2.033932744996997,3.83428560498504
baseline_111,asset_ibov,5,1.1592781878194531,-0.08333432373317354,3.4959253604360736,-1.4282387130560703,4.835056966406363
baseline_111,asset_ibov,6,1.1906273022551785,-0.29501865769278707,3.276799667677624,-1.630859908274742,4.656084990487014
baseline_111,asset_ibov,7,1.2269441886594348,-0.483548841782955,3.1385236651620962,-1.7686360630070994,4.618779009974433
baseline_111,asset_ibov,8,1.71809403709313,-0.08759114942917419,3.5439838632458254,-1.4268000215475625,5.090815822172527
baseline_111,asset_ibov,9,1.882960823129554,-0.04031008881638429,3.750958768987386,-1.5425131835489836,5.285328356143764
baseline_111,asset_ibov,10,1.8507273024848903,-0.13554437893300386,3.780749514207823,-1.655682288918282,5.507475504812002
baseline_111,asset_ibov,11,1.9112703728791762,-0.09140587794057001,3.9243934476197335,-1.5054754992560628,5.74715585586327
baseline_111,asset_ibov,12,1.888795073141666,-0.16874261454208975,4.03067149792302,-1.582237676939418,5.990564170962042
baseline_111,asset_ibov,13,1.7726502973689158,-0.23817078904568056,4.0414253836804965,-1.6464392210443513,6.234890479529392
baseline_111,asset_ibov,14,1.641801807487405,-0.252788948372096,4.099870612779097,-1.7238406588134845,6.315197613053091
baseline_111,asset_ibov,15,1.48877135394387,-0.28926737324799073,4.0910272647240316,-1.6704748293977092,6.406597215074556
baseline_111,asset_ibov,16,1.2985691170489517,-0.393264724010019,4.108298841032701,-1.864852382513037,6.368457134300555
baseline_111,asset_ibov,17,1.0905069083833392,-0.49207150226945423,4.099300922986039,-1.9383519951189159,6.336994469031974
baseline_111,asset_ibov,18,0.8771300932934146,-0.6540969554564556,3.9917240819988913,-2.052808340201836,6.3075886359467415
baseline_111,asset_ibov,19,0.6544350478358617,-0.7453339547844875,3.8617520894487427,-2.1581939823107783,6.249482446757625
baseline_111,asset_ibov,20,0.42739029885448143,-0.9272308076910587,3.7272369864737,-2.250210455116808,6.112193865970693
baseline_111,asset_ibov,21,0.20385738529448907,-0.9949106823411118,3.5893597628146443,-2.4646322424156093,5.989292855513721
baseline_111,asset_ibov,22,-0.015883918225996097,-1.117605982024615,3.4426898423196555,-2.566218741321903,5.792067632034161
baseline_111,asset_ibov,23,-0.2304882703990097,-1.2813191820093648,3.2858763452970345,-2.7654909310242966,5.654426583565964
baseline_111,asset_ibov,24,-0.43610425668617925,-1.4372854461411604,3.123277187492033,-2.8775142025215144,5.477500251950769
baseline_111,asset_ibov,25,-0.6317102375886285,-1.569763036401915,2.9635095756097667,-3.010220207599317,5.201781042739658
baseline_111,asset_ibov,26,-0.816747512181009,-1.6634652034204338,2.8310820308606393,-3.10400610790741,5.082487876593134
baseline_111,asset_ibov,27,-0.9895140212687,-1.8366197599167233,2.6815164892626084,-3.209218185117607,4.92644463944841
baseline_111,asset_ibov,28,-1.1492201265979562,-1.9570780563755985,2.497409067153798,-3.296994054209528,4.749911334180511
baseline_111,asset_ibov,29,-1.2955723033492044,-2.037310483575605,2.3477016924431426,-3.346410055221671,4.5683557374437225
baseline_111,asset_ibov,30,-1.427946640380098,-2.1335582179863515,2.205798946822657,-3.440602697770716,4.38199241153801
baseline_111,asset_ibov,31,-1.5459895307461087,-2.238983319581507,2.075915043764286,-3.571920199790071,4.269282913512703
baseline_111,asset_ibov,32,-1.6496615300914699,-2.3575324973046023,1.9119162205841447,-3.571604010789262,4.143139994166329
baseline_111,asset_ibov,33,-1.738919280582691,-2.3864479130091856,1.752700774274811,-3.6237500178381374,4.029248665644997
baseline_111,asset_ibov,34,-1.8138324503683503,-2.4213094103629347,1.5794443382807248,-3.6556211866374926,3.864170518362489
baseline_111,asset_ibov,35,-1.8746502495529955,-2.487662829554118,1.45898270557367,-3.658265516844555,3.7093195922005666
baseline_111,asset_ibov,36,-1.9217039935847655,-2.504848786298367,1.4127551560131466,-3.7168930517274164,3.521080393808575
baseline_111,asset_ibov,37,-1.9554050001654226,-2.510581638771101,1.2989042211978759,-3.7148506492006583,3.4216610285117905
baseline_111,asset_ibov,38,-1.9762691416650868,-2.548691810018614,1.1671558453626953,-3.703897615473173,3.1784510895712192
baseline_111,asset_ibov,39,-1.9848899220511629,-2.550842294657898,1.0569329878883527,-3.6750449565397254,3.053766923033258
baseline_111,asset_ibov,40,-1.9819201902694457,-2.5217862399400475,1.0092850189703453,-3.6017994275130496,2.8844061983553795
baseline_111,asset_ibov,41,-1.9680722072642285,-2.4673061769447555,0.9371243073420172,-3.630288354274586,2.809304603722104
baseline_111,asset_ibov,42,-1.9441069023870958,-2.3972193560145385,0.8169291874293443,-3.6266791984672113,2.649525324847467
baseline_111,asset_ibov,43,-1.9108189879914546,-2.324170925647929,0.8047327975512366,-3.566087143530549,2.552885658473997
baseline_111,asset_ibov,44,-1.8690292613570487,-2.3326926444900833,0.7984283446627101,-3.53287490009204,2.4742637043138602
baseline_111,asset_ibov,45,-1.8195766236465645,-2.251587322837114,0.7518470101912629,-3.4627260822710166,2.4469262893220556
baseline_111,asset_ibov,46,-1.763307502032741,-2.2000447402644636,0.7081434965729643,-3.448154740505677,2.425281917124016
baseline_111,asset_ibov,47,-1.7010676656242179,-2.125605419453897,0.6542384643857403,-3.280687501530839,2.369032169604063
baseline_111,asset_ibov,48,-1.6336954092182328,-2.0583008799515654,0.6663132695764273,-3.276891634858559,2.3312420045738267
baseline_111,cambio_usd,0,0.15385505120831833,0.11342947845549267,0.1877512434952768,0.09490752244322509,0.2166332331650578
baseline_111,cambio_usd,1,0.16310072804933617,0.11850977560105788,0.21847252821047,0.08512711676558778,0.2573779334587863
baseline_111,cambio_usd,2,0.13194898839500258,0.0844769181218616,0.1969616089844254,0.04551857723736264,0.238193718266346
baseline_111,cambio_usd,3,0.13763004744550292,0.08700851634218273,0.19692510509605876,0.041743006397827964,0.24067212163395107
baseline_111,cambio_usd,4,0.1265521149429126,0.07096346882670018,0.1945990243764661,0.024980232510246392,0.23827759904548484
baseline_111,cambio_usd,5,0.09235065681310324,0.03791870019430703,0.1643227835392559,-0.00993289584243237,0.21289573785270433
baseline_111,cambio_usd,6,0.07625946770078883,0.020433378638773037,0.15774835738956222,-0.023755098325351054,0.2027287565375148
baseline_111,cambio_usd,7,0.05842612242633994,0.005474403330589055,0.14727870658261677,-0.04139856202008578,0.19052975801323263
baseline_111,cambio_usd,8,0.031900773375332946,-0.016662405404388195,0.13069024543480973,-0.06140963336033124,0.1801666794158518
baseline_111,cambio_usd,9,0.01166815591747475,-0.029948018206005924,0.11433122063465423,-0.078239407176105,0.16566461505919852
baseline_111,cambio_usd,10,-0.005985599792726855,-0.04603777596517297,0.10097574029304787,-0.092787940406292,0.1523151974231965
baseline_111,cambio_usd,11,-0.024601960743082713,-0.05813041328913802,0.09054481692203094,-0.11057419248071763,0.13551412855166556
baseline_111,cambio_usd,12,-0.03972559888860237,-0.07166877937157483,0.079472419423408,-0.1252420701721443,0.12423774566768483
baseline_111,cambio_usd,13,-0.052247091919894365,-0.08299293009575556,0.06652332655334285,-0.13705688371971836,0.11327120713165355
baseline_111,cambio_usd,14,-0.06354360298729732,-0.09427730717781405,0.05489613564241025,-0.14877915895429072,0.10053959947285501
baseline_111,cambio_usd,15,-0.07269513775338311,-0.1008027484463691,0.044051891316862844,-0.15563696162350654,0.08927700890901039
baseline_111,cambio_usd,16,-0.07990690686853183,-0.10924769962050103,0.03466403475008778,-0.16471379139354225,0.07958584214535634
baseline_111,cambio_usd,17,-0.08571608308404459,-0.11916396381935584,0.026541154742396413,-0.170495826177954,0.07097884822410924
baseline_111,cambio_usd,18,-0.090080490733415,-0.12300287239252478,0.01985104442065156,-0.17722618718487163,0.05939478417164079
baseline_111,cambio_usd,19,-0.09308781181095764,-0.12930402982737071,0.011885935545973482,-0.1835330887001072,0.05416707142059407
baseline_111,cambio_usd,20,-0.0949655819537851,-0.13093507318287942,0.007125093546466666,-0.18623419708189434,0.049804881559343844
baseline_111,cambio_usd,21,-0.0958271815886579,-0.13290914925572148,0.0018951022176875772,-0.19263038371490004,0.042616425716244286
baseline_111,cambio_usd,22,-0.09574595753668277,-0.1335943528829601,-0.0028970149855477327,-0.19052534849228545,0.0409458001007758
baseline_111,cambio_usd,23,-0.09482868487126309,-0.1350456304928953,-0.006243443903761538,-0.19099067039084724,0.037241156213537054
baseline_111,cambio_usd,24,-0.09317888890086129,-0.13504681734477803,-0.007355114621683966,-0.1906765480169048,0.033049142663190666
baseline_111,cambio_usd,25,-0.09086573977458186,-0.13569861924050564,-0.009206245888198916,-0.19143867411235377,0.03159193818040934
baseline_111,cambio_usd,26,-0.08795884309961295,-0.1351291983499205,-0.009515705879647715,-0.19051935706198697,0.031041881700775292
baseline_111,cambio_usd,27,-0.08453847999292087,-0.13320754752226385,-0.009071311282310156,-0.18700207848711778,0.03135408529407389
